timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
283,7.0715932e-06,4.6521552e-07,7.7844325e-06,9.0287955e-07,False,True
284,7.433823e-06,4.667697e-07,7.317125e-06,9.556879e-07,False,False
285,7.4775517e-06,5.8966083e-07,7.1223412e-06,8.9739314e-07,False,False
286,7.658781e-06,6.997724e-07,7.5136354e-06,1.210181e-06,True,False
287,7.149897e-06,4.5248905e-07,7.513076e-06,1.0164277e-06,False,False
288,7.788075e-06,7.9818113e-07,7.1253257e-06,1.0315975e-06,True,False
289,7.5542557e-06,7.1209524e-07,7.374571e-06,1.1337679e-06,False,False
290,7.384201e-06,3.8767666e-07,7.0723218e-06,6.379035e-07,False,False
291,7.5740804e-06,3.5319846e-07,7.2328817e-06,1.0200858e-06,False,False
292,7.503576e-06,4.4777127e-07,7.3681995e-06,9.337733e-07,False,False
293,7.662062e-06,6.380084e-07,7.5537e-06,6.6132156e-07,True,False
294,7.6158203e-06,7.123855e-07,7.5291123e-06,7.7113515e-07,False,False
295,7.931565e-06,5.691584e-07,7.4340323e-06,7.848702e-07,True,False
296,7.113391e-06,4.1654877e-07,7.748136e-06,8.8839323e-07,False,True
297,7.728146e-06,4.200599e-07,7.4058576e-06,8.3197307e-07,True,False
298,7.5837224e-06,6.147585e-07,7.567988e-06,7.7782266e-07,False,False
299,7.406321e-06,2.854325e-07,7.3515375e-06,8.389073e-07,False,False
300,7.0326337e-06,5.881532e-07,7.582031e-06,7.971557e-07,False,False
301,7.211943e-06,3.2624013e-07,7.2303033e-06,6.62955e-07,False,False
302,7.2144076e-06,3.867699e-07,7.480749e-06,7.409735e-07,False,False
303,7.1677277e-06,6.909237e-07,7.6226506e-06,8.147394e-07,False,False
304,7.5006997e-06,6.166447e-07,7.3088218e-06,5.914956e-07,False,False
305,7.32763e-06,5.982033e-07,7.462089e-06,7.4311515e-07,False,False
306,7.512809e-06,8.7453816e-07,7.5840044e-06,7.898688e-07,False,False
307,7.4774844e-06,4.146711e-07,7.525488e-06,7.0499766e-07,False,False
308,7.5076036e-06,4.771379e-07,7.581755e-06,7.001557e-07,False,False
309,7.48057e-06,2.916906e-07,7.682797e-06,7.670924e-07,False,True
310,8.00914e-06,8.509666e-07,7.737874e-06,6.505502e-07,True,True
311,7.5283388e-06,6.7412924e-07,7.671996e-06,5.57293e-07,False,True
312,7.3289134e-06,2.9250512e-07,7.616219e-06,7.60086e-07,False,False
313,7.673421e-06,6.982766e-07,7.645774e-06,4.0456644e-07,True,True
314,7.2214198e-06,6.722029e-07,7.5925955e-06,6.4122264e-07,False,False
315,7.6219426e-06,3.2983104e-07,7.131621e-06,7.8358784e-07,False,False
316,7.5460716e-06,4.7049707e-07,7.6217343e-06,7.245751e-07,False,False
317,6.92083e-06,6.381733e-07,7.5251874e-06,8.468218e-07,False,False
318,7.54051e-06,6.0125143e-07,7.3488045e-06,1.027054e-06,False,False
319,7.3753145e-06,1.093349e-06,7.251434e-06,6.944296e-07,False,False
320,7.49822e-06,9.0527124e-07,7.53151e-06,6.6428413e-07,False,False
321,7.6155616e-06,8.458015e-07,7.426143e-06,7.7889035e-07,False,False
322,7.0779524e-06,7.170708e-07,7.2436815e-06,1.0610883e-06,False,False
323,7.348129e-06,2.8839898e-07,7.593741e-06,7.2652995e-07,False,False
324,7.691379e-06,7.3748436e-07,7.063061e-06,4.1302113e-07,True,False
325,7.671129e-06,5.028009e-07,7.3380156e-06,1.0618687e-06,True,False
326,7.5006706e-06,3.3901546e-07,7.655589e-06,7.358383e-07,False,True
327,7.3102105e-06,5.7668916e-07,7.683667e-06,7.0495685e-07,False,True
328,7.647704e-06,2.5371358e-07,7.04834e-06,4.2084625e-07,True,False
329,7.4761642e-06,7.647625e-07,7.632321e-06,6.9268395e-07,False,False
330,7.528637e-06,7.287616e-07,7.2350367e-06,9.818749e-07,False,False
331,7.416688e-06,4.2340997e-07,7.4328027e-06,4.87112e-07,False,False
332,7.5877297e-06,6.9299074e-07,7.5506614e-06,6.542333e-07,False,False
333,7.427002e-06,4.975062e-07,6.9227062e-06,7.619603e-07,False,False
334,7.3508404e-06,6.51452e-07,7.399405e-06,7.759099e-07,False,False
335,7.5729463e-06,5.9859707e-07,7.3552424e-06,9.216118e-07,False,False
336,7.407792e-06,4.6520773e-07,7.5188445e-06,5.9452265e-07,False,False
337,7.5500916e-06,5.5429877e-07,7.3811134e-06,7.0982645e-07,False,False
338,7.5047938e-06,3.3576578e-07,7.253173e-06,8.6849275e-07,False,False
339,7.7069735e-06,6.469974e-07,7.4313343e-06,8.648421e-07,True,False
340,7.70024e-06,5.591434e-07,7.682119e-06,1.018574e-06,True,True
341,7.687488e-06,5.5135604e-07,7.4890786e-06,9.3874974e-07,True,False
342,7.739808e-06,3.318826e-07,7.6271776e-06,1.2755957e-06,True,False
343,7.293932e-06,5.782516e-07,7.5748294e-06,9.1751815e-07,False,False
