timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
158,6.9571774e-06,5.435296e-07,7.043846e-06,6.7674614e-07,False,False
159,7.2166804e-06,4.4358057e-07,7.1429085e-06,9.55222e-07,False,False
160,6.8392897e-06,3.870472e-07,7.1709146e-06,6.269301e-07,False,False
161,7.2109387e-06,4.9821017e-07,7.185167e-06,9.016159e-07,False,False
162,7.173622e-06,6.087864e-07,7.3443503e-06,6.7032477e-07,False,True
163,7.3612705e-06,5.781228e-07,7.0209926e-06,1.1663473e-06,False,False
164,7.37777e-06,3.4499814e-07,7.127778e-06,1.2048188e-06,False,False
165,7.2245734e-06,1.2546161e-07,6.9934213e-06,8.9557705e-07,False,False
166,7.1550626e-06,2.6685098e-07,7.1640898e-06,7.1188646e-07,False,False
167,7.1029253e-06,2.9614486e-07,6.9722664e-06,9.449966e-07,False,False
168,7.290586e-06,3.052616e-07,7.397203e-06,8.663937e-07,False,True
169,7.158863e-06,2.930444e-07,7.1751906e-06,6.9840735e-07,False,False
170,7.4619975e-06,1.7279221e-07,7.454951e-06,7.1100106e-07,True,True
171,7.700693e-06,4.804242e-07,7.2837684e-06,5.049287e-07,True,True
172,7.542999e-06,3.431554e-07,7.2770954e-06,4.5993048e-07,True,True
173,7.412547e-06,4.490628e-07,7.2231196e-06,9.09192e-07,False,True
174,7.3748693e-06,5.152988e-07,7.3425085e-06,6.0390727e-07,False,True
175,7.1455042e-06,3.5990374e-07,6.890288e-06,9.485625e-07,False,False
176,7.3266156e-06,6.4013614e-07,7.0790848e-06,8.537361e-07,False,False
177,7.5455455e-06,7.196596e-07,7.114743e-06,8.9523377e-07,True,False
178,7.07875e-06,4.147579e-07,7.10878e-06,9.3394357e-07,False,False
179,7.242499e-06,4.8672337e-07,6.8716326e-06,1.0510371e-06,False,False
180,7.2935354e-06,4.013427e-07,7.0937035e-06,1.0645532e-06,False,False
181,7.1765126e-06,6.9681175e-07,7.042267e-06,6.259663e-07,False,False
182,7.295183e-06,3.2579968e-07,6.9279267e-06,8.549822e-07,False,False
183,7.319245e-06,5.831124e-07,6.918877e-06,8.678956e-07,False,False
184,7.2203284e-06,3.4938637e-07,6.8649315e-06,8.219939e-07,False,False
185,7.0834417e-06,3.8544263e-07,7.292137e-06,4.3882306e-07,False,True
186,7.0588926e-06,4.5066128e-07,6.861342e-06,8.494394e-07,False,False
187,7.2677153e-06,6.625762e-07,6.986251e-06,8.30405e-07,False,False
188,7.478461e-06,2.7033386e-07,6.836418e-06,7.744264e-07,True,False
189,7.0754236e-06,4.103692e-07,6.856357e-06,5.916363e-07,False,False
190,7.477068e-06,2.7198917e-07,7.076453e-06,9.585201e-07,True,False
191,7.355649e-06,3.5119442e-07,6.899799e-06,7.726869e-07,False,False
192,7.09458e-06,2.157314e-07,7.193799e-06,6.4528916e-07,False,False
193,7.337968e-06,1.8347264e-07,6.9019998e-06,7.0952916e-07,False,False
194,7.222675e-06,4.810128e-07,7.2123157e-06,7.9545396e-07,False,True
195,7.1764384e-06,6.548912e-07,6.9450725e-06,8.1050626e-07,False,False
196,7.341092e-06,7.276642e-07,7.0516226e-06,9.43176e-07,False,False
197,7.293556e-06,5.25462e-07,7.0194183e-06,7.2979986e-07,False,False
198,7.3025353e-06,5.037646e-07,6.8474887e-06,9.0215883e-07,False,False
199,7.682991e-06,5.8399775e-07,7.1147115e-06,1.0357446e-06,True,False
200,7.2704543e-06,3.2300673e-07,6.9743473e-06,6.435774e-07,False,False
201,7.824768e-06,6.9369867e-07,7.2003168e-06,6.052684e-07,True,False
202,7.677625e-06,5.011328e-07,7.0469796e-06,5.7364025e-07,True,False
203,7.350536e-06,3.9613712e-07,7.543066e-06,6.78056e-07,False,True
204,7.612484e-06,6.5164465e-07,7.403428e-06,9.0177485e-07,True,True
205,7.75715e-06,3.8163472e-07,7.220334e-06,6.562293e-07,True,True
206,7.146117e-06,6.526908e-07,7.1478667e-06,5.072349e-07,False,False
207,7.5625094e-06,4.880236e-07,7.123167e-06,6.8212773e-07,True,False
208,7.217367e-06,5.4303507e-07,7.1831832e-06,5.438295e-07,False,False
209,7.584599e-06,3.405243e-07,7.082662e-06,9.1116686e-07,True,False
210,7.13079e-06,3.7187556e-07,7.175671e-06,8.071269e-07,False,False
211,7.448108e-06,5.2583556e-07,6.864655e-06,9.894725e-07,True,False
212,7.5171024e-06,3.3334723e-07,6.690748e-06,7.1663953e-07,True,False
213,6.8620843e-06,5.66716e-07,6.7693472e-06,4.7016073e-07,False,False
214,6.996207e-06,6.078063e-07,7.079909e-06,7.4889664e-07,False,False
215,7.1472336e-06,3.4044112e-07,6.9289695e-06,8.153648e-07,False,False
216,7.349594e-06,5.416578e-07,6.8357854e-06,7.866486e-07,False,False
217,7.328998e-06,6.651332e-07,6.5842223e-06,6.056528e-07,False,False
218,7.1882882e-06,3.9902255e-07,6.74737e-06,7.079943e-07,False,False
219,7.1703607e-06,6.5377856e-07,6.756791e-06,5.74795e-07,False,False
220,7.4565446e-06,2.3543735e-07,6.9876464e-06,6.800028e-07,True,False
221,7.2650532e-06,7.123395e-07,7.0603646e-06,7.492475e-07,False,False
222,7.084172e-06,5.0265e-07,6.861929e-06,4.915746e-07,False,False
223,7.279429e-06,3.3099352e-07,6.64397e-06,8.9831707e-07,False,False
224,7.169377e-06,3.3927137e-07,7.2620487e-06,8.519043e-07,False,True
225,6.942315e-06,2.8258106e-07,7.328212e-06,8.324723e-07,False,True
226,7.3423894e-06,5.1177835e-07,7.3507967e-06,7.469067e-07,False,True
227,7.2439734e-06,6.892025e-08,6.920395e-06,4.956666e-07,False,False
228,7.0672118e-06,4.171689e-07,7.0234287e-06,8.6154193e-07,False,False
229,6.75033e-06,7.4516146e-07,6.995265e-06,7.970987e-07,False,False
230,7.1581717e-06,2.802034e-07,6.9503703e-06,9.558928e-07,False,False
231,7.0711744e-06,3.785934e-07,7.0813453e-06,8.5034475e-07,False,False
232,7.0584006e-06,2.8588525e-07,6.708165e-06,7.88864e-07,False,False
233,7.3479046e-06,4.979122e-07,7.045368e-06,7.4859713e-07,False,False
234,7.2402268e-06,4.5199283e-07,6.740954e-06,8.973602e-07,False,False
235,7.3349247e-06,2.8222783e-07,6.6567145e-06,6.421656e-07,False,False
236,7.524513e-06,4.0675877e-07,7.073127e-06,9.590204e-07,True,False
237,7.208626e-06,2.7365564e-07,6.928037e-06,5.997073e-07,False,False
238,7.3877404e-06,5.6984607e-07,7.036091e-06,7.9783274e-07,False,False
239,7.486166e-06,4.6627366e-07,6.773269e-06,8.8489514e-07,True,False
240,7.229307e-06,3.1735829e-07,7.1826153e-06,1.3301155e-06,False,False
241,7.2647513e-06,5.347342e-07,6.9815956e-06,8.811528e-07,False,False
242,7.154327e-06,5.528381e-07,6.8561044e-06,7.32051e-07,False,False
243,7.227889e-06,2.2816042e-07,6.817507e-06,6.2230123e-07,False,False
244,7.032845e-06,5.6024675e-07,7.015586e-06,7.5915835e-07,False,False
245,7.071748e-06,4.5166988e-07,7.0041883e-06,7.510007e-07,False,False
246,7.234185e-06,4.8410647e-07,6.83055e-06,5.484107e-07,False,False
247,7.107854e-06,4.874721e-07,7.0880865e-06,7.383078e-07,False,False
248,7.2997914e-06,2.5745754e-07,7.1673217e-06,5.146343e-07,False,False
249,7.136978e-06,2.5580522e-07,7.3721485e-06,8.081726e-07,False,True
250,7.1364e-06,3.9507532e-07,7.0058327e-06,7.6026595e-07,False,False
251,6.9027215e-06,3.2134133e-07,6.817597e-06,8.615435e-07,False,False
252,7.3369497e-06,5.108846e-07,6.624402e-06,8.1220196e-07,False,False
253,7.325126e-06,2.6695062e-07,6.9730413e-06,7.106267e-07,False,False
254,7.1253744e-06,4.680274e-07,7.244677e-06,7.749925e-07,False,True
255,7.4177237e-06,3.2274562e-07,6.721647e-06,1.0800716e-06,False,False
256,7.1647105e-06,4.801057e-07,6.907336e-06,1.1461505e-06,False,False
257,7.004761e-06,6.2958514e-07,7.1645095e-06,7.0753134e-07,False,False
258,7.1576674e-06,4.6962458e-07,7.0721035e-06,6.823593e-07,False,False
259,7.1893205e-06,3.2502868e-07,6.9154185e-06,8.080528e-07,False,False
260,7.30307e-06,3.5894908e-07,7.065931e-06,6.122112e-07,False,False
261,6.808192e-06,2.7657703e-07,6.740178e-06,6.899901e-07,False,False
262,7.110727e-06,4.1387858e-07,7.092213e-06,6.0383763e-07,False,False
263,7.280151e-06,3.2093402e-07,6.922387e-06,9.620536e-07,False,False
264,7.2037387e-06,3.4231817e-07,7.0049937e-06,5.6726714e-07,False,False
265,7.183461e-06,3.541922e-07,6.700956e-06,4.3461745e-07,False,False
